课程编码,课程名称,总学分,开课学期,课程性质
FL101,大学外语（I）,2,大一上,公必
MAR103,中国近现代史纲要,3,大一上,公必
MAR115,习近平新时代中国特色社会主义思想概论,3,大一上,公必
PE101,体育,1,大一上,公必
PUB121,军事课,4,大一上,公必
PSY199,心理健康教育,2,大一上~大一下,公必
MAR114,形势与政策,3,大一上~大四下,公必
PUB178,劳动教育,1,大一上~大四下,公必
PUB199,国家安全教育,1,大一上~大四下,公必
FL102,大学外语（II）,2,大一下,公必
MAR109,四史（中共党史）,1,大一下,公必
MAR112,思想道德与法治,3,大一下,公必
PE102,体育,1,大一下,公必
FL201,大学外语（III）,2,大二上,公必
MAR202,马克思主义基本原理,3,大二上,公必
PE201,体育,0.5,大二上,公必
FL202,大学外语（IV）,2,大二下,公必
MAR207,毛泽东思想和中国特色社会主义理论体系概论,3,大二下,公必
PE202,体育,0.5,大二下,公必
PE305,体育,0.5,大三上,公必
PE302,体育,0.5,大三下,公必
ISE203,认识实习,1,大二下,专必
ISE401,生产实习,4,大四上,专必
ISE412,毕业设计,6,大四下,专必
ISE215,工程数学,2,大二上,专必
ISE257,数据结构与算法,4,大二上,专必
ISE255,离散数学,2,大二下,专必
ISE387,自动控制原理,3,大二下,专必
ISE356,自动控制实验,1.5,大三上,专必
ISE213,信号与系统,2,大二上,专必
ISE259,机器学习,3,大二上,专必
ISE288,微机原理（含实验）,2.5,大二上,专必
ISE202,智能机器人技术,2,大二下,专必
ISE3210,智能机器人实验,1.5,大三上,专必
ISE4101,现代控制理论,2,大三上,专必
ISE3105,多智能体集群控制技术（含实验）,1.5,大三下,专必
ISE125,程序设计,2,大一上,专必
ISE127,程序设计实验,1,大一上,专必
ISE135,工程制图与CAD（一）,3,大一上,专必
MA189,高等数学一（I）,5,大一上,专必
PHY137,大学物理（工）上,3,大一上,专必
ISE130,线性代数,3,大一下,专必
ISE131,电路理论基础（一）,3,大一下,专必
ISE133,电路理论基础实验,1,大一下,专必
MA184,概率统计（理工类）,3,大一下,专必
MA190,高等数学一（II）,5,大一下,专必
PHY139,大学物理（工）下,4,大一下,专必
ISE129,人工智能导论,2,大一下,专选
ISE283,人工智能编程语言,3,大一下,专选
ISE2161,人工智能基础与进阶实训,4,大二上~大二下,专选
ISE207,图像处理,2,大二下,专选
ISE214,数据库原理,2,大二下,专选
ISE292,数据库原理实验,1,大二下,专选
ISE301,计算机网络,2,大二下,专选
ISE303,操作系统,2,大二下,专选
ISE290,深度学习,3,大三上,专选
ISE3125,计算机视觉,2,大三上,专选
ISE3154,虚拟与增强现实（含实验）,3,大三上,专选
ISE3211,分布式计算(含实验),3,大三上,专选
ISE351,通信原理,2,大三上,专选
ISE411,数字信号处理,2,大三上,专选
ISE289,可视化与可视分析,2.5,大三下,专选
ISE3157,自然语言处理,2,大三下,专选
ISE3158,强化学习,2,大三下,专选
ISE3160,软件工程（含实验）,1.5,大三下,专选
ISE415,智能控制与计算智能,3,大四上,专选
ISE120,新生研讨课：智能科技前沿,1,大一上,专选
ISE253,认知科学基础,2,大二上,专选
ISE297, C++语言程序设计（含实验）,3,大二上,专选
ISE2100,嵌入式系统实验,1,大二下,专选
ISE299,嵌入式系统,2,大二下,专选
ISE268,无人系统导论,2,大三下,专选
ISE3166,科研实践,2,大三下,专选
ISE306,科技论文写作,2,大四上,专选
ISE240,数字逻辑设计,2,大二上,专选
ISE242,数字逻辑设计实验,1,大二上,专选
ISE285,传感器原理与应用,2,大二下,专选
ISE3114,最优化理论与方法,2,大二下,专选
ISE311,运筹学,2,大三上,专选
ISE3137,移动机器人规划与控制,2,大三上,专选
ISE3145,电力电子技术,2,大三上,专选
ISE407,电机与拖动技术,2,大三上,专选
ISE3130,智慧建筑(含实验),1.5,大三下,专选
ISE3510,物联网技术,2,大三下,专选
ISE5202,高等算法设计、分析与应用,4,大四上,荣誉课程
ISE6232,工业人工智能,2,大四上,荣誉课程
ISE6259,最优控制,2,大四上,荣誉课程
